County,Registered Voters,Ballots Cast,Voter Turnout
WHITE OAK DIST 6,732,451,61.61 %
WHITE OAK DIST 7,1056,621,58.81 %
WILKINS WARD 1 DIST 1,786,452,57.51 %
WILKINS WARD 1 DIST 2,646,455,70.43 %
WILKINS WARD 1 DIST 3,821,578,70.40 %
WILKINS WARD 1 DIST 4,641,424,66.15 %
WILKINS WARD 1 DIST 5,469,268,57.14 %
WILKINS WARD 2 DIST 1,646,445,68.89 %
WILKINS WARD 2 DIST 2,920,553,60.11 %
WILKINSBURG WARD 1 DIST 1,1007,460,45.68 %
WILKINSBURG WARD 1 DIST 2,744,302,40.59 %
WILKINSBURG WARD 1 DIST 3,479,195,40.71 %
WILKINSBURG WARD 1 DIST 4,603,370,61.36 %
WILKINSBURG WARD 1 DIST 5,545,353,64.77 %
WILKINSBURG WARD 1 DIST 6,1007,453,44.99 %
WILKINSBURG WARD 2 DIST 1,847,433,51.12 %
WILKINSBURG WARD 2 DIST 2,974,633,64.99 %
WILKINSBURG WARD 2 DIST 3,845,345,40.83 %
WILKINSBURG WARD 2 DIST 4,514,192,37.35 %
WILKINSBURG WARD 2 DIST 5,793,355,44.77 %
WILKINSBURG WARD 3 DIST 1,758,508,67.02 %
WILKINSBURG WARD 3 DIST 2,706,440,62.32 %
WILKINSBURG WARD 3 DIST 3,811,334,41.18 %
WILKINSBURG WARD 3 DIST 4,1070,612,57.20 %
WILKINSBURG WARD 3 DIST 5,1095,514,46.94 %
WILKINSBURG WARD 3 DIST 6,539,209,38.78 %
WILMERDING DIST 1,523,177,33.84 %
WILMERDING DIST 2,711,311,43.74 %
Total:,941033,545383,57.96 %
