County,Registered Voters,Ballots Cast,Voter Turnout
PITTSBURGH WRD 12 DIST 12,731,239,32.69 %
PITTSBURGH WRD 12 DIST 13,416,197,47.36 %
PITTSBURGH WRD 12 DIST 14,345,145,42.03 %
PITTSBURGH WRD 12 DIST 15,565,318,56.28 %
PITTSBURGH WRD 12 DIST 16,404,188,46.53 %
PITTSBURGH WARD 13 DIST 1,287,137,47.74 %
PITTSBURGH WARD 13 DIST 2,393,192,48.85 %
PITTSBURGH WARD 13 DIST 3,324,149,45.99 %
PITTSBURGH WARD 13 DIST 4,314,131,41.72 %
PITTSBURGH WARD 13 DIST 5,341,152,44.57 %
PITTSBURGH WARD 13 DIST 6,366,165,45.08 %
PITTSBURGH WARD 13 DIST 7,401,154,38.40 %
PITTSBURGH WARD 13 DIST 8,268,134,50.00 %
PITTSBURGH WARD 13 DIST 9,300,118,39.33 %
PITTSBURGH WRD 13 DIST 10,212,100,47.17 %
PITTSBURGH WRD 13 DIST 11,416,137,32.93 %
PITTSBURGH WRD 13 DIST 12,432,198,45.83 %
PITTSBURGH WRD 13 DIST 13,287,112,39.02 %
PITTSBURGH WRD 13 DIST 14,279,114,40.86 %
PITTSBURGH WRD 13 DIST 15,323,175,54.18 %
PITTSBURGH WRD 13 DIST 16,329,155,47.11 %
PITTSBURGH WRD 13 DIST 17,853,321,37.63 %
PITTSBURGH WRD 13 DIST 18,224,65,29.02 %
PITTSBURGH WRD 13 DIST 19,480,298,62.08 %
PITTSBURGH WARD 14 DIST 1,755,302,40.00 %
PITTSBURGH WARD 14 DIST 2,1534,431,28.10 %
PITTSBURGH WARD 14 DIST 3,914,530,57.99 %
PITTSBURGH WARD 14 DIST 4,762,483,63.39 %
PITTSBURGH WARD 14 DIST 5,832,533,64.06 %
PITTSBURGH WARD 14 DIST 6,735,310,42.18 %
PITTSBURGH WARD 14 DIST 7,4058,1123,27.67 %
PITTSBURGH WARD 14 DIST 8,804,412,51.24 %
PITTSBURGH WARD 14 DIST 9,816,566,69.36 %
PITTSBURGH WRD 14 DIST 10,714,496,69.47 %
PITTSBURGH WRD 14 DIST 11,846,575,67.97 %
PITTSBURGH WRD 14 DIST 12,814,467,57.37 %
PITTSBURGH WRD 14 DIST 13,770,502,65.19 %
PITTSBURGH WRD 14 DIST 14,885,556,62.82 %
PITTSBURGH WRD 14 DIST 15,810,490,60.49 %
PITTSBURGH WRD 14 DIST 16,528,376,71.21 %
PITTSBURGH WRD 14 DIST 17,478,362,75.73 %
PITTSBURGH WRD 14 DIST 18,806,550,68.24 %
PITTSBURGH WRD 14 DIST 19,618,447,72.33 %
PITTSBURGH WRD 14 DIST 20,666,433,65.02 %
PITTSBURGH WRD 14 DIST 21,614,401,65.31 %
PITTSBURGH WRD 14 DIST 22,750,512,68.27 %
PITTSBURGH WRD 14 DIST 23,727,452,62.17 %
PITTSBURGH WRD 14 DIST 24,615,377,61.30 %
PITTSBURGH WRD 14 DIST 25,983,652,66.33 %
PITTSBURGH WRD 14 DIST 26,635,420,66.14 %
PITTSBURGH WRD 14 DIST 27,553,420,75.95 %
PITTSBURGH WRD 14 DIST 28,552,386,69.93 %
PITTSBURGH WRD 14 DIST 29,791,510,64.48 %
PITTSBURGH WRD 14 DIST 30,705,467,66.24 %
