Precinct,Registered Voters,Ballots Cast,Voter Turnout
BETHEL PARK WARD 9 DIST 3,1351,1079,79.87 %
BLAWNOX,1037,737,71.07 %
BRACKENRIDGE WARD 1,490,305,62.24 %
BRACKENRIDGE WARD 2,783,528,67.43 %
BRACKENRIDGE WARD 3,666,438,65.77 %
BRADDOCK WARD 1,557,357,64.09 %
BRADDOCK WARD 2,588,357,60.71 %
BRADDOCK WARD 3,474,236,49.79 %
BRADDOCK HL DIST 1,817,530,64.87 %
BRADDOCK HL DIST 2,541,404,74.68 %
BRADFORD WOODS,1016,821,80.81 %
BRENTWOOD DIST 1,554,426,76.90 %
BRENTWOOD DIST 2,752,542,72.07 %
BRENTWOOD DIST 3,586,446,76.11 %
BRENTWOOD DIST 4,785,548,69.81 %
BRENTWOOD DIST 5,716,486,67.88 %
BRENTWOOD DIST 6,706,451,63.88 %
BRENTWOOD DIST 7,768,550,71.61 %
BRENTWOOD DIST 8,720,557,77.36 %
BRENTWOOD DIST 9,582,433,74.40 %
BRENTWOOD DIST 10,563,411,73.00 %
BRIDGEVILLE DIST 1,783,580,74.07 %
BRIDGEVILLE DIST 2,881,600,68.10 %
BRIDGEVILLE DIST 3,847,635,74.97 %
BRIDGEVILLE DIST 4,954,691,72.43 %
CARNEGIE WARD 1 DIST 1,508,336,66.14 %
CARNEGIE WARD 1 DIST 2,1171,802,68.49 %
CARNEGIE WARD 1 DIST 3,816,592,72.55 %
CARNEGIE WARD 1 DIST 4,375,220,58.67 %
CARNEGIE WARD 2 DIST 1,651,439,67.43 %
CARNEGIE WARD 2 DIST 2,514,365,71.01 %
CARNEGIE WARD 2 DIST 3,489,399,81.60 %
CARNEGIE WARD 2 DIST 4,935,604,64.60 %
CASL SHANNON DIST 1,1020,680,66.67 %
CASL SHANNON DIST 2,861,613,71.20 %
CASL SHANNON DIST 3,793,585,73.77 %
CASL SHANNON DIST 4,653,493,75.50 %
CASL SHANNON DIST 5,618,479,77.51 %
CASL SHANNON DIST 6,642,512,79.75 %
CASL SHANNON DIST 7,786,607,77.23 %
CASL SHANNON DIST 8,560,445,79.46 %
CHALFANT DIST 1,579,435,75.13 %
CHESWICK DIST 1,622,492,79.10 %
CHESWICK DIST 2,636,499,78.46 %
CHURCHILL DIST 1,682,573,84.02 %
CHURCHILL DIST 2,685,539,78.69 %
CHURCHILL DIST 3,641,525,81.90 %
CHURCHILL DIST 4,682,549,80.50 %
CLAIRTON WARD 1 DIST 1,379,223,58.84 %
CLAIRTON WARD 1 DIST 2,401,253,63.09 %
CLAIRTON WARD 1 DIST 3,349,226,64.76 %
CLAIRTON WARD 2 DIST 1,135,81,60.00 %
CLAIRTON WARD 2 DIST 2,340,203,59.71 %
CLAIRTON WARD 2 DIST 3,464,301,64.87 %
CLAIRTON WARD 3 DIST 1,450,313,69.56 %
CLAIRTON WARD 3 DIST 2,390,242,62.05 %
CLAIRTON WARD 3 DIST 3,432,252,58.33 %
CLAIRTON WARD 4 DIST 1,401,244,60.85 %
CLAIRTON WARD 4 DIST 2,397,235,59.19 %
CLAIRTON WARD 4 DIST 3,439,294,66.97 %
COLLIER DIST 1,1110,890,80.18 %
COLLIER DIST 2,1251,1009,80.66 %
COLLIER DIST 3,1128,895,79.34 %
COLLIER DIST 4,773,596,77.10 %
COLLIER DIST 5,943,718,76.14 %
COLLIER DIST 6,1080,740,68.52 %
CORAOPOLIS WARD 1 DIST 1,476,329,69.12 %
CORAOPOLIS WARD 1 DIST 2,505,363,71.88 %
CORAOPOLIS WARD 2,814,486,59.71 %
CORAOPOLIS WARD 3 DIST 1,611,426,69.72 %
CORAOPOLIS WARD 3 DIST 2,619,427,68.98 %
CORAOPOLIS WARD 4 DIST 1,443,310,69.98 %
CORAOPOLIS WARD 4 DIST 2,504,374,74.21 %
CRAFTON WARD 1 DIST 1,888,641,72.18 %
CRAFTON WARD 1 DIST 2,618,453,73.30 %
