Precinct,Registered Voters,Ballots Cast,Voter Turnout
PENN HILLS WARD 2 DIST 3,888,647,72.86 %
PENN HILLS WARD 2 DIST 4,598,463,77.42 %
PENN HILLS WARD 3 DIST 1,796,542,68.09 %
PENN HILLS WARD 3 DIST 2,503,352,69.98 %
PENN HILLS WARD 3 DIST 3,636,461,72.48 %
PENN HILLS WARD 3 DIST 4,802,583,72.69 %
PENN HILLS WARD 3 DIST 5,469,286,60.98 %
PENN HILLS WARD 3 DIST 6,449,343,76.39 %
PENN HILLS WARD 4 DIST 1,547,391,71.48 %
PENN HILLS WARD 4 DIST 2,746,521,69.84 %
PENN HILLS WARD 4 DIST 3,749,539,71.96 %
PENN HILLS WARD 4 DIST 4,583,430,73.76 %
PENN HILLS WARD 4 DIST 5,588,419,71.26 %
PENN HILLS WARD 5 DIST 1,718,510,71.03 %
PENN HILLS WARD 5 DIST 2,614,406,66.12 %
PENN HILLS WARD 5 DIST 3,683,536,78.48 %
PENN HILLS WARD 5 DIST 4,632,486,76.90 %
PENN HILLS WARD 5 DIST 5,508,374,73.62 %
PENN HILLS WARD 5 DIST 6,741,529,71.39 %
PENN HILLS WARD 6 DIST 1,562,371,66.01 %
PENN HILLS WARD 6 DIST 2,640,447,69.84 %
PENN HILLS WARD 6 DIST 3,539,419,77.74 %
PENN HILLS WARD 6 DIST 4,603,426,70.65 %
PENN HILLS WARD 6 DIST 5,571,419,73.38 %
PENN HILLS WARD 6 DIST 6,588,447,76.02 %
PENN HILLS WARD 7 DIST 1,670,515,76.87 %
PENN HILLS WARD 7 DIST 2,641,412,64.27 %
PENN HILLS WARD 7 DIST 3,894,641,71.70 %
PENN HILLS WARD 7 DIST 4,614,456,74.27 %
PENN HILLS WARD 7 DIST 5,684,498,72.81 %
PENN HILLS WARD 7 DIST 6,770,547,71.04 %
PENN HILLS WARD 7 DIST 7,734,475,64.71 %
PENN HILLS WARD 8 DIST 1,624,492,78.85 %
PENN HILLS WARD 8 DIST 2,553,416,75.23 %
PENN HILLS WARD 8 DIST 3,552,405,73.37 %
PENN HILLS WARD 8 DIST 4,631,500,79.24 %
PENN HILLS WARD 8 DIST 5,927,664,71.63 %
PENN HILLS WARD 8 DIST 6,462,383,82.90 %
PENN HILLS WARD 9 DIST 1,512,417,81.45 %
PENN HILLS WARD 9 DIST 2,550,403,73.27 %
PENN HILLS WARD 9 DIST 3,804,608,75.62 %
PENN HILLS WARD 9 DIST 4,602,471,78.24 %
PENN HILLS WARD 9 DIST 5,322,222,68.94 %
PINE DIST 1,1173,923,78.69 %
PINE DIST 2,1687,1272,75.40 %
PINE DIST 3,438,350,79.91 %
PINE DIST 4,1198,918,76.63 %
PINE DIST 5,1638,1245,76.01 %
PINE DIST 6,538,435,80.86 %
PINE DIST 7,1403,1015,72.34 %
PINE DIST 8,1102,828,75.14 %
PITCAIRN DIST 1,922,579,62.80 %
PITCAIRN DIST 2,520,304,58.46 %
PITCAIRN DIST 3,655,479,73.13 %
PITTSBURGH WARD 1 DIST 1,3863,1638,42.40 %
PITTSBURGH WARD 1 DIST 2,665,328,49.32 %
PITTSBURGH WARD 2 DIST 1,1858,1238,66.63 %
PITTSBURGH WARD 2 DIST 2,900,583,64.78 %
PITTSBURGH WARD 3 DIST 1,259,165,63.71 %
PITTSBURGH WARD 3 DIST 2,677,462,68.24 %
PITTSBURGH WARD 3 DIST 3,364,244,67.03 %
PITTSBURGH WARD 3 DIST 4,574,273,47.56 %
PITTSBURGH WARD 3 DIST 5,458,268,58.52 %
PITTSBURGH WARD 4 DIST 1,354,176,49.72 %
PITTSBURGH WARD 4 DIST 2,837,468,55.91 %
PITTSBURGH WARD 4 DIST 3,383,226,59.01 %
PITTSBURGH WARD 4 DIST 4,263,152,57.79 %
PITTSBURGH WARD 4 DIST 5,1185,650,54.85 %
PITTSBURGH WARD 4 DIST 6,819,496,60.56 %
PITTSBURGH WARD 4 DIST 7,3221,1714,53.21 %
PITTSBURGH WARD 4 DIST 8,4797,1955,40.75 %
PITTSBURGH WARD 4 DIST 9,657,406,61.80 %
PITTSBURGH WARD 4 DIST 10,597,304,50.92 %
PITTSBURGH WARD 4 DIST 11,556,412,74.10 %
PITTSBURGH WARD 4 DIST 12,678,420,61.95 %
PITTSBURGH WARD 4 DIST 13,903,455,50.39 %
PITTSBURGH WARD 4 DIST 14,1739,982,56.47 %
PITTSBURGH WARD 4 DIST 15,1115,656,58.83 %
PITTSBURGH WARD 4 DIST 16,1576,898,56.98 %
PITTSBURGH WARD 4 DIST 17,663,454,68.48 %
PITTSBURGH WARD 4 DIST 18,505,363,71.88 %
PITTSBURGH WARD 4 DIST 19,294,153,52.04 %
PITTSBURGH WARD 5 DIST 1,264,181,68.56 %
PITTSBURGH WARD 5 DIST 2,348,228,65.52 %
PITTSBURGH WARD 5 DIST 3,161,106,65.84 %
PITTSBURGH WARD 5 DIST 4,310,70,22.58 %
PITTSBURGH WARD 5 DIST 5,249,157,63.05 %
PITTSBURGH WARD 5 DIST 6,581,324,55.77 %
PITTSBURGH WARD 5 DIST 7,452,294,65.04 %
PITTSBURGH WARD 5 DIST 8,445,295,66.29 %
PITTSBURGH WARD 5 DIST 9,1134,640,56.44 %
PITTSBURGH WARD 5 DIST 10,467,298,63.81 %
PITTSBURGH WARD 5 DIST 11,387,227,58.66 %
PITTSBURGH WARD 5 DIST 12,436,290,66.51 %
PITTSBURGH WARD 5 DIST 13,273,170,62.27 %
PITTSBURGH WARD 5 DIST 14,279,155,55.56 %
PITTSBURGH WARD 5 DIST 15,232,153,65.95 %
PITTSBURGH WARD 5 DIST 16,179,52,29.05 %
PITTSBURGH WARD 5 DIST 17,256,158,61.72 %
PITTSBURGH WARD 5 DIST 18,53,33,62.26 %
PITTSBURGH WARD 6 DIST 1,873,553,63.34 %
PITTSBURGH WARD 6 DIST 2,625,397,63.52 %
PITTSBURGH WARD 6 DIST 3,794,508,63.98 %
PITTSBURGH WARD 6 DIST 4,593,414,69.81 %
PITTSBURGH WARD 6 DIST 5,467,324,69.38 %
PITTSBURGH WARD 7 DIST 1,676,400,59.17 %
PITTSBURGH WARD 7 DIST 2,1030,706,68.54 %
PITTSBURGH WARD 7 DIST 3,771,431,55.90 %
PITTSBURGH WARD 7 DIST 4,1098,661,60.20 %
PITTSBURGH WARD 7 DIST 5,727,436,59.97 %
PITTSBURGH WARD 7 DIST 6,687,420,61.14 %
PITTSBURGH WARD 7 DIST 7,771,434,56.29 %
PITTSBURGH WARD 7 DIST 8,725,436,60.14 %
PITTSBURGH WARD 7 DIST 9,800,518,64.75 %
PITTSBURGH WARD 7 DIST 10,1035,692,66.86 %
PITTSBURGH WARD 7 DIST 11,1055,686,65.02 %
PITTSBURGH WARD 7 DIST 12,910,610,67.03 %
PITTSBURGH WARD 7 DIST 13,550,283,51.45 %
PITTSBURGH WARD 7 DIST 14,485,300,61.86 %
PITTSBURGH WARD 8 DIST 1,357,248,69.47 %
PITTSBURGH WARD 8 DIST 2,667,471,70.61 %
PITTSBURGH WARD 8 DIST 3,853,537,62.95 %
PITTSBURGH WARD 8 DIST 4,768,535,69.66 %
PITTSBURGH WARD 8 DIST 5,595,419,70.42 %
PITTSBURGH WARD 8 DIST 6,430,277,64.42 %
PITTSBURGH WARD 8 DIST 7,802,563,70.20 %
PITTSBURGH WARD 8 DIST 8,632,458,72.47 %
PITTSBURGH WARD 8 DIST 9,733,460,62.76 %
PITTSBURGH WARD 8 DIST 10,664,468,70.48 %
PITTSBURGH WARD 8 DIST 11,615,400,65.04 %
PITTSBURGH WARD 8 DIST 12,636,408,64.15 %
PITTSBURGH WARD 8 DIST 13,614,388,63.19 %
PITTSBURGH WARD 9 DIST 1,485,307,63.30 %
PITTSBURGH WARD 9 DIST 2,631,431,68.30 %
PITTSBURGH WARD 9 DIST 3,601,415,69.05 %
PITTSBURGH WARD 9 DIST 4,590,399,67.63 %
PITTSBURGH WARD 9 DIST 5,695,476,68.49 %
PITTSBURGH WARD 9 DIST 6,583,419,71.87 %
PITTSBURGH WARD 9 DIST 7,449,312,69.49 %
PITTSBURGH WARD 9 DIST 8,711,501,70.46 %
PITTSBURGH WARD 9 DIST 9,650,414,63.69 %
PITTSBURGH WARD 10 DIST 1,538,340,63.20 %
PITTSBURGH WARD 10 DIST 2,627,424,67.62 %
PITTSBURGH WARD 10 DIST 3,669,476,71.15 %
PITTSBURGH WARD 10 DIST 4,540,435,80.56 %
PITTSBURGH WARD 10 DIST 5,510,385,75.49 %
PITTSBURGH WARD 10 DIST 6,520,368,70.77 %
PITTSBURGH WARD 10 DIST 7,585,424,72.48 %
PITTSBURGH WARD 10 DIST 8,588,438,74.49 %
PITTSBURGH WARD 10 DIST 9,541,397,73.38 %
PITTSBURGH WRD 10 DIST 10,597,496,83.08 %
PITTSBURGH WRD 10 DIST 11,617,447,72.45 %
PITTSBURGH WRD 10 DIST 12,563,394,69.98 %
PITTSBURGH WRD 10 DIST 13,542,419,77.31 %
PITTSBURGH WRD 10 DIST 14,546,424,77.66 %
PITTSBURGH WRD 10 DIST 15,362,257,70.99 %
PITTSBURGH WRD 10 DIST 16,339,209,61.65 %
PITTSBURGH WRD 10 DIST 17,543,367,67.59 %
PITTSBURGH WRD 10 DIST 18,559,355,63.51 %
PITTSBURGH WRD 10 DIST 19,483,327,67.70 %
PITTSBURGH WARD 11 DIST 1,607,446,73.48 %
PITTSBURGH WARD 11 DIST 2,582,398,68.38 %
PITTSBURGH WARD 11 DIST 3,465,307,66.02 %
PITTSBURGH WARD 11 DIST 4,547,339,61.97 %
PITTSBURGH WARD 11 DIST 5,591,375,63.45 %
PITTSBURGH WARD 11 DIST 6,881,591,67.08 %
PITTSBURGH WARD 11 DIST 7,653,491,75.19 %
PITTSBURGH WARD 11 DIST 8,600,409,68.17 %
PITTSBURGH WARD 11 DIST 9,637,502,78.81 %
PITTSBURGH WRD 11 DIST 10,581,467,80.38 %
PITTSBURGH WRD 11 DIST 11,696,495,71.12 %
PITTSBURGH WRD 11 DIST 12,661,490,74.13 %
PITTSBURGH WRD 11 DIST 13,672,503,74.85 %
PITTSBURGH WRD 11 DIST 14,579,367,63.39 %
PITTSBURGH WRD 11 DIST 15,325,155,47.69 %
PITTSBURGH WRD 11 DIST 16,603,373,61.86 %
PITTSBURGH WRD 11 DIST 17,672,435,64.73 %
PITTSBURGH WRD 11 DIST 18,572,336,58.74 %
PITTSBURGH WARD 12 DIST 1,236,136,57.63 %
PITTSBURGH WARD 12 DIST 2,335,228,68.06 %
PITTSBURGH WARD 12 DIST 3,118,77,65.25 %
PITTSBURGH WARD 12 DIST 4,342,222,64.91 %
PITTSBURGH WARD 12 DIST 5,176,98,55.68 %
PITTSBURGH WARD 12 DIST 6,245,152,62.04 %
PITTSBURGH WARD 12 DIST 7,298,176,59.06 %
PITTSBURGH WARD 12 DIST 8,227,145,63.88 %
PITTSBURGH WARD 12 DIST 9,350,189,54.00 %
PITTSBURGH WRD 12 DIST 10,455,290,63.74 %
PITTSBURGH WRD 12 DIST 11,473,320,67.65 %
PITTSBURGH WRD 12 DIST 12,765,352,46.01 %
PITTSBURGH WRD 12 DIST 13,427,267,62.53 %
PITTSBURGH WRD 12 DIST 14,357,219,61.34 %
PITTSBURGH WRD 12 DIST 15,555,407,73.33 %
PITTSBURGH WRD 12 DIST 16,399,259,64.91 %
PITTSBURGH WARD 13 DIST 1,311,216,69.45 %
PITTSBURGH WARD 13 DIST 2,410,263,64.15 %
PITTSBURGH WARD 13 DIST 3,344,228,66.28 %
PITTSBURGH WARD 13 DIST 4,312,175,56.09 %
PITTSBURGH WARD 13 DIST 5,346,200,57.80 %
PITTSBURGH WARD 13 DIST 6,362,217,59.94 %
PITTSBURGH WARD 13 DIST 7,387,233,60.21 %
PITTSBURGH WARD 13 DIST 8,262,161,61.45 %
PITTSBURGH WARD 13 DIST 9,325,196,60.31 %
PITTSBURGH WRD 13 DIST 10,223,143,64.13 %
PITTSBURGH WRD 13 DIST 11,435,231,53.10 %
PITTSBURGH WRD 13 DIST 12,449,302,67.26 %
PITTSBURGH WRD 13 DIST 13,295,192,65.08 %
PITTSBURGH WRD 13 DIST 14,284,149,52.46 %
PITTSBURGH WRD 13 DIST 15,344,220,63.95 %
PITTSBURGH WRD 13 DIST 16,346,211,60.98 %
PITTSBURGH WRD 13 DIST 17,874,502,57.44 %
PITTSBURGH WRD 13 DIST 18,233,122,52.36 %
PITTSBURGH WRD 13 DIST 19,483,357,73.91 %
PITTSBURGH WARD 14 DIST 1,716,401,56.01 %
PITTSBURGH WARD 14 DIST 2,1469,600,40.84 %
PITTSBURGH WARD 14 DIST 3,876,615,70.21 %
PITTSBURGH WARD 14 DIST 4,758,561,74.01 %
PITTSBURGH WARD 14 DIST 5,805,600,74.53 %
PITTSBURGH WARD 14 DIST 6,749,407,54.34 %
PITTSBURGH WARD 14 DIST 7,3677,1555,42.29 %
PITTSBURGH WARD 14 DIST 8,762,510,66.93 %
PITTSBURGH WARD 14 DIST 9,794,633,79.72 %
PITTSBURGH WRD 14 DIST 10,701,528,75.32 %
PITTSBURGH WRD 14 DIST 11,795,614,77.23 %
PITTSBURGH WRD 14 DIST 12,775,529,68.26 %
PITTSBURGH WRD 14 DIST 13,766,574,74.93 %
PITTSBURGH WRD 14 DIST 14,881,632,71.74 %
PITTSBURGH WRD 14 DIST 15,778,550,70.69 %
PITTSBURGH WRD 14 DIST 16,511,387,75.73 %
PITTSBURGH WRD 14 DIST 17,460,389,84.57 %
PITTSBURGH WRD 14 DIST 18,763,572,74.97 %
PITTSBURGH WRD 14 DIST 19,617,498,80.71 %
PITTSBURGH WRD 14 DIST 20,667,473,70.91 %
PITTSBURGH WRD 14 DIST 21,579,433,74.78 %
PITTSBURGH WRD 14 DIST 22,705,535,75.89 %
PITTSBURGH WRD 14 DIST 23,720,518,71.94 %
PITTSBURGH WRD 14 DIST 24,560,399,71.25 %
PITTSBURGH WRD 14 DIST 25,946,713,75.37 %
PITTSBURGH WRD 14 DIST 26,617,478,77.47 %
PITTSBURGH WRD 14 DIST 27,535,444,82.99 %
PITTSBURGH WRD 14 DIST 28,530,427,80.57 %
PITTSBURGH WRD 14 DIST 29,781,582,74.52 %
PITTSBURGH WRD 14 DIST 30,692,532,76.88 %
PITTSBURGH WRD 14 DIST 31,1049,846,80.65 %
PITTSBURGH WRD 14 DIST 32,769,482,62.68 %
PITTSBURGH WRD 14 DIST 33,807,524,64.93 %
PITTSBURGH WRD 14 DIST 34,854,536,62.76 %
PITTSBURGH WRD 14 DIST 35,621,407,65.54 %
PITTSBURGH WRD 14 DIST 36,866,569,65.70 %
PITTSBURGH WRD 14 DIST 37,655,425,64.89 %
PITTSBURGH WRD 14 DIST 38,583,383,65.69 %
PITTSBURGH WRD 14 DIST 39,575,403,70.09 %
PITTSBURGH WRD 14 DIST 40,528,335,63.45 %
PITTSBURGH WRD 14 DIST 41,93,51,54.84 %
PITTSBURGH WARD 15 DIST 1,636,404,63.52 %
PITTSBURGH WARD 15 DIST 2,731,532,72.78 %
PITTSBURGH WARD 15 DIST 3,613,424,69.17 %
PITTSBURGH WARD 15 DIST 4,628,468,74.52 %
PITTSBURGH WARD 15 DIST 5,543,376,69.24 %
PITTSBURGH WARD 15 DIST 6,549,408,74.32 %
PITTSBURGH WARD 15 DIST 7,684,516,75.44 %
PITTSBURGH WARD 15 DIST 8,636,448,70.44 %
PITTSBURGH WARD 15 DIST 9,175,116,66.29 %
PITTSBURGH WRD 15 DIST 10,623,469,75.28 %
PITTSBURGH WRD 15 DIST 11,582,415,71.31 %
PITTSBURGH WRD 15 DIST 12,484,343,70.87 %
PITTSBURGH WRD 15 DIST 13,452,271,59.96 %
PITTSBURGH WRD 15 DIST 14,338,188,55.62 %
PITTSBURGH WRD 15 DIST 15,378,217,57.41 %
PITTSBURGH WRD 15 DIST 16,559,386,69.05 %
PITTSBURGH WRD 15 DIST 17,35,22,62.86 %
PITTSBURGH WRD 15 DIST 18,571,357,62.52 %
PITTSBURGH WRD 15 DIST 19,515,277,53.79 %
PITTSBURGH WARD 16 DIST 1,810,469,57.90 %
PITTSBURGH WARD 16 DIST 2,1131,683,60.39 %
PITTSBURGH WARD 16 DIST 3,829,528,63.69 %
PITTSBURGH WARD 16 DIST 4,429,261,60.84 %
PITTSBURGH WARD 16 DIST 5,580,381,65.69 %
PITTSBURGH WARD 16 DIST 6,472,349,73.94 %
PITTSBURGH WARD 16 DIST 7,416,248,59.62 %
PITTSBURGH WARD 16 DIST 8,191,108,56.54 %
PITTSBURGH WARD 16 DIST 9,536,322,60.07 %
PITTSBURGH WRD 16 DIST 10,399,243,60.90 %
PITTSBURGH WRD 16 DIST 11,392,259,66.07 %
PITTSBURGH WARD 17 DIST 1,191,82,42.93 %
PITTSBURGH WARD 17 DIST 2,849,529,62.31 %
PITTSBURGH WARD 17 DIST 3,659,417,63.28 %
PITTSBURGH WARD 17 DIST 4,784,533,67.98 %
PITTSBURGH WARD 17 DIST 5,586,385,65.70 %
PITTSBURGH WARD 17 DIST 6,474,286,60.34 %
PITTSBURGH WARD 17 DIST 7,415,265,63.86 %
PITTSBURGH WARD 17 DIST 8,450,265,58.89 %
PITTSBURGH WARD 18 DIST 1,585,441,75.38 %
PITTSBURGH WARD 18 DIST 2,447,287,64.21 %
PITTSBURGH WARD 18 DIST 3,386,249,64.51 %
PITTSBURGH WARD 18 DIST 4,471,275,58.39 %
PITTSBURGH WARD 18 DIST 5,946,645,68.18 %
PITTSBURGH WARD 18 DIST 6,383,215,56.14 %
PITTSBURGH WARD 18 DIST 7,436,284,65.14 %
PITTSBURGH WARD 18 DIST 8,255,143,56.08 %
PITTSBURGH WARD 18 DIST 9,692,380,54.91 %
PITTSBURGH WRD 18 DIST 10,84,54,64.29 %
PITTSBURGH WRD 18 DIST 11,599,356,59.43 %
PITTSBURGH WARD 19 DIST 1,548,399,72.81 %
PITTSBURGH WARD 19 DIST 2,678,450,66.37 %
PITTSBURGH WARD 19 DIST 3,547,405,74.04 %
PITTSBURGH WARD 19 DIST 4,409,287,70.17 %
PITTSBURGH WARD 19 DIST 5,431,305,70.77 %
PITTSBURGH WARD 19 DIST 6,511,354,69.28 %
PITTSBURGH WARD 19 DIST 7,234,160,68.38 %
PITTSBURGH WARD 19 DIST 8,576,372,64.58 %
PITTSBURGH WARD 19 DIST 9,552,354,64.13 %
PITTSBURGH WRD 19 DIST 10,681,418,61.38 %
PITTSBURGH WRD 19 DIST 11,487,283,58.11 %
PITTSBURGH WRD 19 DIST 12,435,330,75.86 %
PITTSBURGH WRD 19 DIST 13,477,293,61.43 %
PITTSBURGH WRD 19 DIST 14,572,359,62.76 %
PITTSBURGH WRD 19 DIST 15,628,440,70.06 %
PITTSBURGH WRD 19 DIST 16,575,401,69.74 %
PITTSBURGH WRD 19 DIST 17,582,401,68.90 %
PITTSBURGH WRD 19 DIST 18,485,324,66.80 %
PITTSBURGH WRD 19 DIST 19,528,359,67.99 %
PITTSBURGH WRD 19 DIST 20,514,371,72.18 %
PITTSBURGH WRD 19 DIST 21,629,419,66.61 %
PITTSBURGH WRD 19 DIST 22,549,409,74.50 %
PITTSBURGH WRD 19 DIST 23,626,411,65.65 %
PITTSBURGH WRD 19 DIST 24,516,362,70.16 %
PITTSBURGH WRD 19 DIST 25,536,397,74.07 %
PITTSBURGH WRD 19 DIST 26,478,337,70.50 %
PITTSBURGH WRD 19 DIST 27,464,318,68.53 %
PITTSBURGH WRD 19 DIST 28,646,527,81.58 %
PITTSBURGH WRD 19 DIST 29,512,366,71.48 %
PITTSBURGH WRD 19 DIST 30,536,392,73.13 %
PITTSBURGH WRD 19 DIST 31,504,365,72.42 %
PITTSBURGH WRD 19 DIST 32,518,373,72.01 %
PITTSBURGH WRD 19 DIST 33,464,333,71.77 %
PITTSBURGH WRD 19 DIST 34,511,375,73.39 %
PITTSBURGH WRD 19 DIST 35,504,361,71.63 %
PITTSBURGH WRD 19 DIST 36,656,482,73.48 %
PITTSBURGH WRD 19 DIST 37,450,331,73.56 %
PITTSBURGH WRD 19 DIST 38,506,344,67.98 %
PITTSBURGH WARD 20 DIST 1,625,452,72.32 %
PITTSBURGH WARD 20 DIST 2,225,151,67.11 %
PITTSBURGH WARD 20 DIST 3,708,499,70.48 %
PITTSBURGH WARD 20 DIST 4,59,39,66.10 %
PITTSBURGH WARD 20 DIST 5,578,357,61.76 %
PITTSBURGH WARD 20 DIST 6,553,320,57.87 %
PITTSBURGH WARD 20 DIST 7,680,420,61.76 %
PITTSBURGH WARD 20 DIST 8,735,490,66.67 %
PITTSBURGH WARD 20 DIST 9,206,123,59.71 %
PITTSBURGH WRD 20 DIST 10,643,368,57.23 %
PITTSBURGH WRD 20 DIST 11,696,451,64.80 %
PITTSBURGH WRD 20 DIST 12,934,613,65.63 %
PITTSBURGH WRD 20 DIST 13,471,319,67.73 %
PITTSBURGH WRD 20 DIST 14,864,562,65.05 %
PITTSBURGH WRD 20 DIST 15,909,549,60.40 %
PITTSBURGH WRD 20 DIST 16,654,484,74.01 %
PITTSBURGH WRD 20 DIST 17,436,347,79.59 %
PITTSBURGH WRD 20 DIST 18,514,382,74.32 %
PITTSBURGH WRD 21 DIST 1,485,283,58.35 %
PITTSBURGH WARD 21 DIST 2,476,311,65.34 %
PITTSBURGH WARD 21 DIST 3,674,462,68.55 %
PITTSBURGH WARD 21 DIST 4,620,400,64.52 %
PITTSBURGH WARD 22 DIST 1,713,496,69.57 %
PITTSBURGH WARD 22 DIST 2,672,467,69.49 %
PITTSBURGH WARD 22 DIST 3,682,442,64.81 %
PITTSBURGH WARD 22 DIST 4,807,472,58.49 %
PITTSBURGH WARD 23 DIST 1,1156,673,58.22 %
PITTSBURGH WARD 23 DIST 2,830,482,58.07 %
PITTSBURGH WARD 23 DIST 3,393,201,51.15 %
PITTSBURGH WARD 24 DIST 1,433,261,60.28 %
PITTSBURGH WARD 24 DIST 2,435,282,64.83 %
PITTSBURGH WARD 24 DIST 3,374,238,63.64 %
PITTSBURGH WARD 24 DIST 4,610,408,66.89 %
PITTSBURGH WARD 24 DIST 5,521,301,57.77 %
PITTSBURGH WARD 24 DIST 6,556,354,63.67 %
PITTSBURGH WARD 25 DIST 1,490,316,64.49 %
PITTSBURGH WARD 25 DIST 2,408,247,60.54 %
PITTSBURGH WARD 25 DIST 3,558,398,71.33 %
PITTSBURGH WARD 25 DIST 4,355,190,53.52 %
PITTSBURGH WARD 25 DIST 5,374,221,59.09 %
PITTSBURGH WARD 25 DIST 6,395,232,58.73 %
PITTSBURGH WARD 25 DIST 7,435,297,68.28 %
PITTSBURGH WARD 26 DIST 1,543,337,62.06 %
PITTSBURGH WARD 26 DIST 2,457,259,56.67 %
PITTSBURGH WARD 26 DIST 3,456,288,63.16 %
PITTSBURGH WARD 26 DIST 4,436,259,59.40 %
PITTSBURGH WARD 26 DIST 5,494,266,53.85 %
PITTSBURGH WARD 26 DIST 6,406,236,58.13 %
PITTSBURGH WARD 26 DIST 7,328,202,61.59 %
PITTSBURGH WARD 26 DIST 8,642,289,45.02 %
PITTSBURGH WARD 26 DIST 9,357,264,73.95 %
PITTSBURGH WRD 26 DIST 10,662,442,66.77 %
PITTSBURGH WRD 26 DIST 11,747,494,66.13 %
PITTSBURGH WRD 26 DIST 12,519,337,64.93 %
PITTSBURGH WRD 26 DIST 13,568,381,67.08 %
PITTSBURGH WRD 26 DIST 14,604,467,77.32 %
PITTSBURGH WRD 26 DIST 15,502,368,73.31 %
PITTSBURGH WRD 26 DIST 16,710,472,66.48 %
PITTSBURGH WRD 26 DIST 17,212,128,60.38 %
PITTSBURGH WARD 27 DIST 1,776,581,74.87 %
PITTSBURGH WARD 27 DIST 2,671,496,73.92 %
PITTSBURGH WARD 27 DIST 3,579,411,70.98 %
PITTSBURGH WARD 27 DIST 4,743,505,67.97 %
PITTSBURGH WARD 27 DIST 5,708,508,71.75 %
PITTSBURGH WARD 27 DIST 6,756,473,62.57 %
PITTSBURGH WARD 27 DIST 7,610,446,73.11 %
PITTSBURGH WARD 27 DIST 8,598,426,71.24 %
PITTSBURGH WARD 27 DIST 9,605,358,59.17 %
PITTSBURGH WRD 27 DIST 10,639,393,61.50 %
PITTSBURGH WRD 27 DIST 11,641,400,62.40 %
PITTSBURGH WRD 27 DIST 12,545,321,58.90 %
PITTSBURGH WRD 27 DIST 13,568,356,62.68 %
PITTSBURGH WARD 28 DIST 1,685,478,69.78 %
PITTSBURGH WARD 28 DIST 2,537,343,63.87 %
PITTSBURGH WARD 28 DIST 3,851,637,74.85 %
PITTSBURGH WARD 28 DIST 4,655,481,73.44 %
PITTSBURGH WARD 28 DIST 5,672,481,71.58 %
PITTSBURGH WARD 28 DIST 6,589,420,71.31 %
PITTSBURGH WARD 28 DIST 7,681,362,53.16 %
PITTSBURGH WARD 28 DIST 8,846,635,75.06 %
PITTSBURGH WARD 28 DIST 9,607,407,67.05 %
PITTSBURGH WRD 28 DIST 10,517,318,61.51 %
PITTSBURGH WRD 28 DIST 11,144,85,59.03 %
PITTSBURGH WARD 29 DIST 1,605,393,64.96 %
PITTSBURGH WARD 29 DIST 2,542,383,70.66 %
PITTSBURGH WARD 29 DIST 3,484,314,64.88 %
PITTSBURGH WARD 29 DIST 4,550,352,64.00 %
PITTSBURGH WARD 29 DIST 5,556,344,61.87 %
PITTSBURGH WARD 29 DIST 6,593,402,67.79 %
PITTSBURGH WARD 29 DIST 7,603,419,69.49 %
PITTSBURGH WARD 29 DIST 8,534,329,61.61 %
PITTSBURGH WARD 29 DIST 9,464,276,59.48 %
PITTSBURGH WRD 29 DIST 10,523,363,69.41 %
PITTSBURGH WRD 29 DIST 11,631,428,67.83 %
PITTSBURGH WRD 29 DIST 12,549,339,61.75 %
PITTSBURGH WARD 30 DIST 1,416,250,60.10 %
PITTSBURGH WARD 30 DIST 2,415,286,68.92 %
PITTSBURGH WARD 30 DIST 3,402,222,55.22 %
PITTSBURGH WARD 30 DIST 4,625,382,61.12 %
PITTSBURGH WARD 30 DIST 5,678,422,62.24 %
PITTSBURGH WARD 31 DIST 1,237,152,64.14 %
PITTSBURGH WARD 31 DIST 2,411,330,80.29 %
PITTSBURGH WARD 31 DIST 3,575,420,73.04 %
PITTSBURGH WARD 31 DIST 4,566,403,71.20 %
PITTSBURGH WARD 31 DIST 5,683,530,77.60 %
PITTSBURGH WARD 31 DIST 6,555,411,74.05 %
PITTSBURGH WARD 31 DIST 7,142,96,67.61 %
PITTSBURGH WARD 32 DIST 1,507,351,69.23 %
PITTSBURGH WARD 32 DIST 2,646,440,68.11 %
PITTSBURGH WARD 32 DIST 3,518,363,70.08 %
PITTSBURGH WARD 32 DIST 4,364,238,65.38 %
PITTSBURGH WARD 32 DIST 5,557,417,74.87 %
PITTSBURGH WARD 32 DIST 6,625,455,72.80 %
PITTSBURGH WARD 32 DIST 7,518,375,72.39 %
PITTSBURGH WARD 32 DIST 8,654,525,80.28 %
PLEASANT HL DIST 1,710,503,70.85 %
PLEASANT HL DIST 2,538,447,83.09 %
PLEASANT HL DIST 3,558,457,81.90 %
PLEASANT HL DIST 4,514,385,74.90 %
PLEASANT HL DIST 5,759,503,66.27 %
PLEASANT HL DIST 6,925,743,80.32 %
PLEASANT HL DIST 7,509,415,81.53 %
PLEASANT HL DIST 8,519,418,80.54 %
PLEASANT HL DIST 9,638,528,82.76 %
PLEASANT HL DIST 10,542,438,80.81 %
PLUM DIST 1,1771,1346,76.00 %
PLUM DIST 2,581,463,79.69 %
PLUM DIST 3,969,739,76.26 %
PLUM DIST 4,823,641,77.89 %
PLUM DIST 5,897,701,78.15 %
PLUM DIST 6,1227,968,78.89 %
PLUM DIST 7,1235,966,78.22 %
PLUM DIST 8,589,469,79.63 %
