total,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,district,year,is_midterm,lagged_turnout,lagged_percentage_turnout,ballots_cast,check_in_stations,voting_booths,cluster,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM
3805.2960136704273,0.8430314537249433,0.0495583810367466,0.0,0.0331325736173536,0.0016595637392199,0.0009440636447981,0.0057754563061703,0.166185548408488,0.275649935187294,0.1652745601472115,0.2682793464317565,0.5276611256528979,0.4723388743471023,0.1522731052206256,0.0540106323172221,0.0982624729034033,BALDWIN BR DIST 12,2026,1,565,85.61,479,1,3,3,118,13,15,14,18,15,13,33,32,40,31,44,39
5090.984676451472,0.8922777783739501,0.0438512347956752,0.0005481225165872,7.612092296804956e-06,0.0,0.044518942607806,0.0128710564688217,0.0421125424171709,0.1618966510938208,0.3480849708359191,0.3422552467360014,0.4944021225549054,0.5055978774450948,0.1807214820444856,0.0806894804886563,0.1000320015558291,BALDWIN BR DIST 13,2026,1,605,88.32,518,1,3,0,126,13,16,19,20,14,14,47,36,36,42,43,42
2874.4,0.7629642360144726,0.01243083774005,0.0,0.0684309768995268,0.0,0.0,0.1067350403562482,0.167657250208739,0.1059643751739492,0.3190070971333146,0.3176131366546063,0.4018925688839409,0.5981074311160589,0.1109796827163929,0.0653353743389924,0.0456443083774004,BALDWIN BR DIST 14,2026,1,520,84.69,459,1,3,0,124,13,13,15,13,15,17,35,33,45,40,35,31
5065.963225515674,0.8906565355057995,0.0441658783325884,0.0005493001366941,0.0005034830407988,0.0,0.0438579882474022,0.0126716225395661,0.0431983924820322,0.16232088094411,0.346301342591077,0.3425585741658591,0.4940651410848175,0.5059348589151824,0.1804829198935334,0.0806493476768989,0.0998335722166342,BALDWIN BR DIST 15,2026,1,705,87.47,599,1,3,0,178,20,19,21,21,18,20,45,55,59,40,56,40
5084.283648409681,0.8921653391415293,0.0438897581470675,0.0005614707134197,6.082174248876709e-05,1.4197659615556757e-06,0.0444664512676776,0.0128644508674954,0.0422539640671867,0.1620540714820845,0.3477671911969099,0.3421518962873853,0.494485733863712,0.5055142661362878,0.1806842163858106,0.0806269568279636,0.1000572595578468,BALDWIN BR DIST 16,2026,1,741,80.9,615,1,3,0,154,20,18,17,17,20,20,43,54,57,52,54,56
4277.07051215883,0.6470358644901673,0.0383847493712192,0.0,0.202498096821427,3.0027590698378964e-06,0.0,0.0634169805818027,0.1753756626333214,0.1915865106354047,0.3051002893083427,0.2313439990946248,0.4878845021313726,0.5121154978686276,0.1414829287715721,0.0799057738138478,0.0615771549577241,BALDWIN BR DIST 17,2026,1,564,83.19,467,1,3,2,154,13,17,15,13,16,15,32,41,43,32,39,43
3400.763369219605,0.7803365629426023,0.0676436947336009,0.0010611282954698,0.0336675473463184,0.0,0.000513057528436,0.0,0.1121013169031871,0.1888243121452097,0.2246984748673536,0.3688279385238703,0.4730339854928621,0.5269660145071379,0.168362486575327,0.0799541901785374,0.0884082963967893,BALDWIN BR DIST 18,2026,1,820,84.36,734,1,3,0,249,21,27,29,25,23,21,67,56,54,58,60,72
3802.1333555976703,0.843171722270279,0.0493903039033838,1.0208356846458291e-05,0.0331804289941121,0.0016443299439788,0.0009374001517931,0.005791921289074,0.1662091538950612,0.2758335496258444,0.1649293763034126,0.2683260098325351,0.5277383308270494,0.472261669172951,0.1522136214632093,0.0539357014604796,0.0982779200027296,BALDWIN BR DIST 2,2026,1,881,84.63,733,1,3,3,206,26,20,23,25,21,20,70,62,49,52,59,67
4499.334309712404,0.8691110267862663,0.0465486565211116,0.0002930534200945,0.0155870201046678,0.0007549710433038,0.0241734463933438,0.0095956447197891,0.0998311090881558,0.2154020215201342,0.2625549964213107,0.3075824422102379,0.5095805257741888,0.4904194742258111,0.1677645669519022,0.0682933976900855,0.0994711692618166,BALDWIN BR DIST 3,2026,1,713,83.2,610,1,3,0,154,17,19,23,20,22,20,46,55,45,56,45,60
5092.8593838448005,0.8922928111347553,0.0438420502189869,0.0005428315513728,4.04155271381555e-06,0.0,0.0445227114992621,0.0128699882078928,0.0421178345727769,0.1618841055731159,0.3481382376647605,0.3422485214398355,0.4943793790916256,0.5056206209083745,0.1807240293397718,0.0806978259946445,0.1000262033451269,BALDWIN BR DIST 4,2026,1,671,84.09,569,1,3,0,199,17,16,15,17,15,21,55,56,53,42,45,41
