tract,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,year
"Census Tract 2107, Allegheny County, Pennsylvania",23.7,70.7,0.7,0.6,0.0,1.1999999999999993,0.0,34.2,26.3,20.6,11.600000000000001,2014
"Census Tract 2206, Allegheny County, Pennsylvania",64.4,30.1,0.5,1.5,0.0,1.5,0.1,28.3,22.6,24.0,21.0,2014
"Census Tract 2406, Allegheny County, Pennsylvania",83.7,9.2,0.0,1.7,0.0,0.7999999999999972,0.0,26.799999999999997,29.5,18.2,13.299999999999999,2014
"Census Tract 2412, Allegheny County, Pennsylvania",69.5,14.0,0.0,0.0,0.0,0.5999999999999943,0.0,36.2,34.9,24.8,3.2,2014
"Census Tract 2503, Allegheny County, Pennsylvania",38.5,51.8,0.0,0.0,0.0,0.0,7.7,27.700000000000003,25.6,17.700000000000003,12.700000000000001,2014
"Census Tract 2507, Allegheny County, Pennsylvania",16.5,81.0,0.0,0.0,0.0,0.0,0.0,56.0,22.1,3.0999999999999996,4.5,2014
"Census Tract 2509, Allegheny County, Pennsylvania",27.7,69.9,0.0,0.0,0.0,0.0,1.3,40.6,23.9,19.6,5.8,2014
"Census Tract 2602, Allegheny County, Pennsylvania",74.8,22.9,0.2,0.2,0.0,0.4000000000000057,0.3,26.7,29.1,25.4,10.2,2014
"Census Tract 2607, Allegheny County, Pennsylvania",45.8,46.8,0.0,0.0,0.0,2.700000000000003,0.3,20.9,29.700000000000003,18.6,14.2,2014
"Census Tract 2609, Allegheny County, Pennsylvania",2.8,93.3,0.0,0.0,0.0,1.7000000000000002,0.0,64.3,8.4,5.3,0.5,2014
"Census Tract 2612, Allegheny County, Pennsylvania",82.3,17.7,0.0,0.0,0.0,0.0,0.0,15.9,29.299999999999997,34.7,11.3,2014
"Census Tract 2614, Allegheny County, Pennsylvania",23.4,74.8,0.0,0.5,0.0,0.0,0.0,41.3,32.0,9.3,4.6,2014
"Census Tract 2615, Allegheny County, Pennsylvania",37.5,57.0,0.6,0.6,0.0,0.8999999999999986,0.0,33.7,30.700000000000003,20.200000000000003,3.8,2014
"Census Tract 2620, Allegheny County, Pennsylvania",62.1,31.2,0.0,3.4,0.0,0.0,3.0,29.4,37.9,13.9,6.8,2014
"Census Tract 2701, Allegheny County, Pennsylvania",79.6,16.7,0.5,0.0,0.0,0.0,0.1,18.799999999999997,33.3,24.1,13.8,2014
"Census Tract 2703, Allegheny County, Pennsylvania",65.0,29.7,0.0,1.5,0.0,0.0,0.0,30.6,26.6,23.9,8.3,2014
"Census Tract 2704, Allegheny County, Pennsylvania",50.0,37.5,0.8,0.0,0.0,3.700000000000003,0.4,28.4,27.2,9.6,5.3,2014
"Census Tract 2708, Allegheny County, Pennsylvania",77.9,17.7,0.3,0.6,0.0,1.1999999999999886,0.0,24.2,22.5,27.0,17.2,2014
"Census Tract 2715, Allegheny County, Pennsylvania",50.6,43.3,0.0,0.0,0.0,1.1000000000000014,0.9,25.4,32.8,20.700000000000003,3.6999999999999997,2014
"Census Tract 2814, Allegheny County, Pennsylvania",58.5,36.7,0.0,0.0,0.7,0.0,1.9,33.4,28.5,20.1,9.4,2014
"Census Tract 2815, Allegheny County, Pennsylvania",84.2,10.9,0.0,0.0,0.0,0.5,0.8,19.700000000000003,41.9,22.9,8.6,2014
"Census Tract 2901, Allegheny County, Pennsylvania",77.7,12.8,0.3,7.5,0.0,1.2999999999999972,0.0,37.4,31.6,14.1,6.5,2014
"Census Tract 2902, Allegheny County, Pennsylvania",80.3,9.4,0.1,1.9,0.0,0.29999999999999716,0.0,33.0,33.5,18.7,4.6,2014
"Census Tract 2904, Allegheny County, Pennsylvania",81.8,8.3,0.2,0.8,0.0,2.700000000000003,0.8,32.1,28.7,24.5,8.3,2014
"Census Tract 3001, Allegheny County, Pennsylvania",33.5,58.2,0.2,4.1,0.0,0.0,0.5,37.0,29.8,19.0,3.2,2014
"Census Tract 305, Allegheny County, Pennsylvania",8.0,82.5,1.0,0.0,0.0,0.5,4.2,44.9,26.900000000000002,11.3,2.6,2014
"Census Tract 3102, Allegheny County, Pennsylvania",95.1,0.0,0.0,1.2,0.0,0.8000000000000114,0.0,25.4,34.7,24.2,8.399999999999999,2014
"Census Tract 3103, Allegheny County, Pennsylvania",86.0,7.5,0.0,0.4,0.0,0.9000000000000057,0.0,22.2,30.1,16.5,17.2,2014
"Census Tract 3204, Allegheny County, Pennsylvania",94.8,4.0,0.0,0.3,0.0,0.4000000000000057,0.0,26.9,31.6,21.1,10.7,2014
"Census Tract 3206, Allegheny County, Pennsylvania",84.0,4.2,0.0,0.3,0.0,0.7000000000000028,0.7,20.9,30.9,25.900000000000002,12.5,2014
"Census Tract 3207, Allegheny County, Pennsylvania",89.8,2.3,0.0,4.0,0.0,3.0,0.0,25.2,32.9,22.4,7.8,2014
"Census Tract 4011, Allegheny County, Pennsylvania",93.8,2.0,0.0,0.2,0.0,0.0,0.0,21.2,33.7,24.1,7.699999999999999,2014
"Census Tract 4012, Allegheny County, Pennsylvania",92.4,4.1,0.5,0.8,0.0,0.0,1.0,34.4,30.700000000000003,15.899999999999999,3.7,2014
"Census Tract 4013, Allegheny County, Pennsylvania",93.6,1.1,0.0,0.0,0.0,1.6000000000000085,0.0,23.1,26.0,25.200000000000003,11.8,2014
"Census Tract 402, Allegheny County, Pennsylvania",37.0,50.9,0.0,8.0,0.9,0.0,0.0,57.0,17.7,9.3,1.6,2014
"Census Tract 4020, Allegheny County, Pennsylvania",90.2,4.8,0.0,1.5,0.0,0.0,0.0,25.0,37.099999999999994,19.3,8.9,2014
"Census Tract 4035, Allegheny County, Pennsylvania",87.7,10.3,0.0,0.0,0.0,0.0,0.0,29.1,35.1,19.9,5.2,2014
"Census Tract 404, Allegheny County, Pennsylvania",60.4,4.8,0.0,30.5,0.0,2.6000000000000014,1.2,43.0,16.5,11.5,12.8,2014
"Census Tract 4040, Allegheny County, Pennsylvania",93.3,2.7,0.0,0.0,0.0,0.29999999999999716,0.0,21.0,34.8,27.9,9.4,2014
"Census Tract 405, Allegheny County, Pennsylvania",81.0,4.9,0.0,7.0,0.0,1.7000000000000028,1.7,70.1,12.0,5.6,1.0,2014
"Census Tract 4050, Allegheny County, Pennsylvania",98.2,0.0,0.1,0.6,0.0,0.0,0.0,29.7,26.799999999999997,23.4,11.3,2014
"Census Tract 406, Allegheny County, Pennsylvania",76.7,7.3,0.0,5.6,0.0,3.200000000000003,0.0,65.9,19.200000000000003,7.0,2.6999999999999997,2014
"Census Tract 4060, Allegheny County, Pennsylvania",96.7,0.8,0.0,0.6,0.0,0.29999999999999716,0.0,25.5,31.700000000000003,22.0,13.7,2014
"Census Tract 4070.01, Allegheny County, Pennsylvania",97.8,0.1,0.0,0.0,0.0,0.5,0.0,21.9,29.8,23.4,15.399999999999999,2014
"Census Tract 4070.02, Allegheny County, Pennsylvania",97.4,0.7,0.0,0.3,0.0,0.0,1.2,24.5,26.4,25.1,15.2,2014
"Census Tract 4080.01, Allegheny County, Pennsylvania",97.4,0.0,0.4,0.9,0.0,1.2999999999999972,0.0,25.299999999999997,21.2,21.799999999999997,21.299999999999997,2014
"Census Tract 4080.02, Allegheny County, Pennsylvania",90.9,3.2,0.3,3.8,0.0,1.3999999999999915,0.0,15.6,24.299999999999997,23.700000000000003,30.0,2014
"Census Tract 409, Allegheny County, Pennsylvania",70.0,16.3,0.0,9.4,0.0,2.5,0.0,49.300000000000004,19.0,11.7,5.9,2014
"Census Tract 4090, Allegheny County, Pennsylvania",92.4,2.3,0.4,3.4,0.0,0.5999999999999943,0.0,18.0,12.600000000000001,14.6,37.2,2014
"Census Tract 4100, Allegheny County, Pennsylvania",97.9,0.0,0.0,1.2,0.0,0.5999999999999943,0.0,19.5,18.5,16.4,34.5,2014
"Census Tract 4110, Allegheny County, Pennsylvania",86.4,2.5,0.1,9.4,0.2,0.5,0.0,18.1,14.1,15.7,37.7,2014
"Census Tract 4120.01, Allegheny County, Pennsylvania",82.5,1.7,0.0,11.0,0.0,0.4000000000000057,2.1,12.399999999999999,19.6,14.5,36.300000000000004,2014
"Census Tract 4120.02, Allegheny County, Pennsylvania",91.9,0.5,0.0,6.9,0.0,0.5999999999999943,0.0,22.4,15.0,15.7,33.0,2014
"Census Tract 4131, Allegheny County, Pennsylvania",78.6,4.0,0.0,14.1,0.0,1.4000000000000057,0.3,17.6,16.3,17.3,34.800000000000004,2014
"Census Tract 4132.01, Allegheny County, Pennsylvania",96.2,0.7,0.0,2.2,0.0,0.3999999999999915,0.1,16.9,24.0,33.8,17.0,2014
"Census Tract 4132.02, Allegheny County, Pennsylvania",98.0,0.0,0.3,1.1,0.0,0.0,0.0,22.3,19.5,25.700000000000003,24.1,2014
"Census Tract 4133, Allegheny County, Pennsylvania",93.2,1.7,0.2,2.8,0.0,1.5999999999999943,0.2,24.1,23.700000000000003,23.200000000000003,22.0,2014
"Census Tract 4134, Allegheny County, Pennsylvania",94.3,0.4,0.5,3.6,0.0,0.9000000000000057,0.3,21.7,17.8,25.7,25.799999999999997,2014
"Census Tract 4135, Allegheny County, Pennsylvania",90.0,2.0,0.0,6.8,0.0,0.5999999999999943,0.0,25.7,21.7,23.1,19.3,2014
"Census Tract 4141.01, Allegheny County, Pennsylvania",98.0,0.0,0.1,1.3,0.0,0.20000000000000284,0.0,19.9,17.3,28.4,24.6,2014
"Census Tract 4141.02, Allegheny County, Pennsylvania",92.2,0.7,0.0,4.8,0.2,1.5999999999999943,0.4,15.9,24.5,24.7,26.8,2014
"Census Tract 4142, Allegheny County, Pennsylvania",97.5,0.5,0.0,1.0,0.0,1.0,0.0,20.2,23.9,20.2,23.200000000000003,2014
"Census Tract 4150.01, Allegheny County, Pennsylvania",89.6,0.6,0.0,1.5,0.0,4.0,0.0,21.700000000000003,21.9,21.1,22.299999999999997,2014
"Census Tract 4150.02, Allegheny County, Pennsylvania",92.7,3.0,0.0,3.5,0.0,0.0,0.2,20.8,20.9,21.799999999999997,28.7,2014
"Census Tract 4160, Allegheny County, Pennsylvania",99.3,0.0,0.0,0.0,0.0,0.0,0.0,26.9,32.0,21.4,12.3,2014
"Census Tract 4171, Allegheny County, Pennsylvania",92.9,0.9,0.0,2.3,0.0,1.1999999999999886,0.0,25.0,28.4,28.5,12.4,2014
"Census Tract 4172, Allegheny County, Pennsylvania",97.3,0.9,0.0,0.0,0.0,0.0,1.8,32.2,30.9,23.2,6.5,2014
"Census Tract 4180, Allegheny County, Pennsylvania",99.7,0.1,0.2,0.0,0.0,0.0,0.0,17.3,28.299999999999997,31.8,13.6,2014
"Census Tract 4190, Allegheny County, Pennsylvania",96.2,1.4,0.0,1.4,0.0,0.20000000000000284,0.3,26.4,36.5,22.7,9.6,2014
"Census Tract 4200, Allegheny County, Pennsylvania",85.6,2.2,0.2,9.9,0.0,1.7000000000000028,0.4,27.3,32.9,25.799999999999997,9.1,2014
"Census Tract 4211, Allegheny County, Pennsylvania",80.9,1.5,0.0,10.8,0.0,0.29999999999999716,0.0,21.9,17.6,20.1,29.299999999999997,2014
"Census Tract 4212, Allegheny County, Pennsylvania",91.9,0.2,0.2,3.6,0.0,0.29999999999999716,1.4,18.3,16.1,23.5,29.799999999999997,2014
"Census Tract 4220, Allegheny County, Pennsylvania",90.2,0.0,0.0,5.8,0.0,0.7000000000000028,0.4,19.7,10.100000000000001,9.2,43.7,2014
"Census Tract 4230, Allegheny County, Pennsylvania",94.0,0.4,0.0,4.0,0.0,1.0999999999999943,0.0,15.3,21.8,26.4,26.200000000000003,2014
"Census Tract 4240, Allegheny County, Pennsylvania",76.5,13.9,0.0,2.4,0.0,0.20000000000000284,5.2,35.7,30.1,18.2,4.3,2014
"Census Tract 4250, Allegheny County, Pennsylvania",95.0,2.3,0.0,0.0,0.0,0.29999999999999716,0.8,26.7,36.1,22.2,8.5,2014
"Census Tract 4263, Allegheny County, Pennsylvania",98.2,0.0,0.0,0.0,0.2,1.5999999999999943,0.0,20.6,24.7,26.799999999999997,18.7,2014
"Census Tract 4264, Allegheny County, Pennsylvania",97.4,0.6,0.0,1.0,0.0,0.0,0.0,19.700000000000003,24.700000000000003,33.599999999999994,14.5,2014
