,tract,total,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,year
105,"Census Tract 4120.02, Allegheny County, Pennsylvania",5279,0.5383595377912483,0.46164046220875166,0.061943549914756584,0.04659973479825725,0.015343815116499336,2013
106,"Census Tract 4131, Allegheny County, Pennsylvania",7209,0.5243445692883895,0.4756554307116105,0.05867665418227216,0.028991538354834236,0.029685115827437925,2013
107,"Census Tract 4132.01, Allegheny County, Pennsylvania",3789,0.4602797571918712,0.5397202428081288,0.12219583003430984,0.055687516495117446,0.0665083135391924,2013
108,"Census Tract 4132.02, Allegheny County, Pennsylvania",2714,0.5029476787030214,0.4970523212969786,0.0924834193072955,0.0397936624907885,0.052689756816507,2013
109,"Census Tract 4133, Allegheny County, Pennsylvania",4733,0.4929220367631523,0.5070779632368476,0.1031058525248257,0.053031903655186986,0.05007394886963871,2013
110,"Census Tract 4134, Allegheny County, Pennsylvania",4224,0.4910037878787879,0.5089962121212122,0.08120265151515152,0.03006628787878788,0.05113636363636364,2013
111,"Census Tract 4135, Allegheny County, Pennsylvania",5571,0.46059953329743314,0.5394004667025669,0.10411057260814935,0.054029797163884404,0.050080775444264945,2013
112,"Census Tract 4141.01, Allegheny County, Pennsylvania",5270,0.5119544592030361,0.48804554079696394,0.04971537001897533,0.020113851992409868,0.029601518026565465,2013
113,"Census Tract 4141.02, Allegheny County, Pennsylvania",7304,0.45386089813800656,0.5461391018619934,0.06599123767798466,0.025876232201533407,0.04011500547645126,2013
114,"Census Tract 4142, Allegheny County, Pennsylvania",5782,0.4998270494638533,0.5001729505361466,0.10186786579038395,0.04444828778969215,0.0574195780006918,2013
115,"Census Tract 4150.01, Allegheny County, Pennsylvania",4625,0.4854054054054054,0.5145945945945946,0.0892972972972973,0.03654054054054054,0.052756756756756756,2013
116,"Census Tract 4150.02, Allegheny County, Pennsylvania",2464,0.45616883116883117,0.5438311688311688,0.0945616883116883,0.040990259740259744,0.05357142857142857,2013
117,"Census Tract 4160, Allegheny County, Pennsylvania",1643,0.47413268411442483,0.5258673158855751,0.20450395617772368,0.09433962264150944,0.11016433353621424,2013
118,"Census Tract 4171, Allegheny County, Pennsylvania",2140,0.44532710280373833,0.5546728971962617,0.15046728971962617,0.048598130841121495,0.10186915887850467,2013
119,"Census Tract 4172, Allegheny County, Pennsylvania",1269,0.4736012608353034,0.5263987391646966,0.1536643026004728,0.05988967691095351,0.0937746256895193,2013
120,"Census Tract 4180, Allegheny County, Pennsylvania",1690,0.4804733727810651,0.5195266272189349,0.11597633136094675,0.05384615384615385,0.0621301775147929,2013
121,"Census Tract 4190, Allegheny County, Pennsylvania",2778,0.43088552915766737,0.5691144708423326,0.18250539956803455,0.07631389488840892,0.10619150467962563,2013
122,"Census Tract 4200, Allegheny County, Pennsylvania",1463,0.4709501025290499,0.5290498974709501,0.1572112098427888,0.05536568694463431,0.10184552289815448,2013
